Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_dollar,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,14,3.67315,3.811442495,2.540834846,,-30.8,-19.5,-9.9,8.7,23.1,,,,,
Argentina,ARG,ARS,75,27.725,2.705139766,13.61161525,14466.552,-50.9,-42.9,-36.1,-22.8,-12.6,-22.2,-26,-15.1,1.2,-19.2
Australia,AUS,AUD,6.05,1.339853956,4.5154175,1.09800363,55707.275,-18.1,-4.6,6.7,28.8,45.9,-15.4,-19.5,-7.7,10,-12.2
Austria,AUT,EUR,3.4,0.87248614928238,3.89691,,,,,,,,,,,
Azerbaijan,AZE,AZN,3.95,1.70175,2.321140003,0.716878403,,-57.9,-51,-45.1,-33.8,-25,,,,,
Bahrain,BHR,BHD,1.2,0.37955,3.161638783,0.217785844,,-42.6,-33.2,-25.3,-9.8,2.1,,,,,
Belgium,BEL,EUR,4.1,0.87248614928238,4.699215,,,,,,,,,,,
Brazil,BRA,BRL,16.9,3.83835,4.402933552,3.067150635,9894.929,-20.1,-7,4.1,25.6,42.2,34.7,28.1,46.9,75.1,39.8
Canada,CAN,CAD,6.65,1.31235,5.06724578,1.206896552,45077.388,-8,7,19.7,44.5,63.7,4.3,-0.8,13.8,35.6,8.2
Switzerland,CHE,CHF,6.5,0.99325,6.544173169,1.179673321,80590.91,18.8,38.2,54.7,86.7,111.4,1.3,-3.7,10.5,31.7,5.1
Chile,CHL,CLP,2640,651.73,4.050757215,479.1288566,15070.413,-26.5,-14.5,-4.3,15.6,30.8,15.6,10,26.2,50.4,20
China,CHN,CNY,20.5,6.622,3.095741468,3.720508167,8643.107,-43.8,-34.6,-26.8,-11.7,0,-3.6,-8.3,5.1,25.3,0
Colombia,COL,COP,11900,2874.07,4.140469787,2159.709619,6272.818,-24.9,-12.6,-2.2,18.1,33.7,33.3,26.8,45.5,73.4,38.4
Costa Rica,CRI,CRC,2290,567.8,4.03311025,415.6079855,,-26.8,-14.8,-4.7,15,30.3,,,,,
Czech Republic,CZE,CZK,75,22.06475,3.399086779,13.61161525,20152.408,-38.3,-28.2,-19.7,-3,9.8,-8.9,-13.4,-0.6,18.4,-5.5
Germany,DEU,EUR,3.9,0.87248614928238,4.469985,,,,,,,,,,,
Denmark,DNK,DKK,30,6.3591,4.717648724,5.444646098,56444.103,-14.4,-0.4,11.5,34.6,52.4,-12.2,-16.4,-4.2,14.2,-8.9
Egypt,EGY,EGP,31.37,17.905,1.752024574,5.693284936,2500.772,-68.2,-63,-58.6,-50,-43.4,-40.3,-43.2,-34.9,-22.4,-38.1
Spain,ESP,EUR,3.95,0.87248614928238,4.5272925,,,,,,,,,,,
Estonia,EST,EUR,3.15,0.87248614928238,3.6103725,,,,,,,,,,,
Euro area,EUZ,EUR,4.04,0.853205921,4.735082,0.733212341,37250.29028,-14.1,0,11.9,35.1,53,5.1,0,14.7,36.7,9.1
Finland,FIN,EUR,4.56,0.87248614928238,5.226444,,,,,,,,,,,
France,FRA,EUR,4.2,0.87248614928238,4.81383,,,,,,,,,,,
United Kingdom,GBR,GBP,3.19,0.753863551,4.231535,0.578947368,39734.592,-23.2,-10.6,0,20.7,36.7,-8.4,-12.8,0,19.2,-4.9
Greece,GRE,EUR,3.84,0.87248614928238,4.401216,,,,,,,,,,,
Guatemala,GTM,GTQ,25,7.4871,3.339076545,4.537205082,,-39.4,-29.5,-21.1,-4.8,7.9,,,,,
Hong Kong,HKG,HKD,20,7.84825,2.548338802,3.629764065,46109.124,-53.8,-46.2,-39.8,-27.3,-17.7,-48,-50.6,-43.3,-32.4,-46.1
Honduras,HND,HNL,85,23.9926,3.542759017,15.42649728,,-35.7,-25.2,-16.3,1.1,14.4,,,,,
Croatia,HRV,HRK,21,6.31275,3.326600927,3.811252269,,-39.6,-29.7,-21.4,-5.1,7.5,,,,,
Hungary,HUN,HUF,850,276.4302,3.074917285,154.2649728,15531.209,-44.2,-35.1,-27.3,-12.3,-0.7,-12.7,-17,-4.8,13.5,-9.4
Indonesia,IDN,IDR,31500,14360,2.193593315,5716.878403,3875.771,-60.2,-53.7,-48.2,-37.4,-29.1,-26.8,-30.4,-20.1,-4.8,-24.1
India,IND,INR,173,68.825,2.513621504,31.39745917,1982.702,-54.4,-46.9,-40.6,-28.3,-18.8,-13.7,-17.9,-5.8,12.3,-10.4
Ireland,IRL,EUR,4.07,0.87248614928238,4.6648305,,,,,,,,,,,
Israel,ISR,ILS,17,3.6349,4.676882445,3.085299456,40258.361,-15.1,-1.2,10.5,33.4,51.1,0.8,-4.1,10,31,4.6
Italy,ITA,EUR,4.2,0.87248614928238,4.681383,,,,,,,,,,,
Jordan,JOR,JOD,1.95,0.71005,2.746285473,0.353901996,,-50.2,-42,-35.1,-21.7,-11.3,,,,,
Japan,JPN,JPY,390,111.25,3.505617978,70.78039927,38439.517,-36.4,-26,-17.2,0,13.2,-23.1,-26.8,-16.1,0,-20.2
South Korea,KOR,KRW,4500,1116,4.032258065,816.6969147,29891.255,-26.8,-14.8,-4.7,15,30.3,-3.4,-8.1,5.4,25.7,0.3
Kuwait,KWT,KWD,1.05,0.3025,3.47107438,0.190562613,,-37,-26.7,-18,-1,12.1,,,,,
Lebanon,LBN,LBP,6500,1511,4.301786896,1179.673321,,-21.9,-9.2,1.7,22.7,39,,,,,
Latvia,LVA,EUR,2.7,0.87248614928238,3.094605,,,,,,,,,,,
Lithuania,LTU,EUR,2.8,0.87248614928238,3.20922,,,,,,,,,,,
Sri Lanka,LKA,LKR,580,159.27,3.641614868,105.2631579,,-33.9,-23.1,-13.9,3.9,17.6,,,,,
Malta,MLT,EUR,3.8,0.87248614928238,4.35537,,,,,,,,,,,
Moldova,MDA,MDL,43,16.6526,2.582179359,7.80399274,,-53.1,-45.5,-39,-26.3,-16.6,,,,,
Mexico,MEX,MXN,49,19.0515,2.57197596,8.89292196,9304.174,-53.3,-45.7,-39.2,-26.6,-16.9,-20.7,-24.5,-13.5,3.1,-17.7
Malaysia,MYS,MYR,8.45,4.0225,2.100683654,1.533575318,9812.8,-61.9,-55.6,-50.4,-40.1,-32.1,-35.7,-38.8,-29.8,-16.3,-33.2
Netherlands,NLD,EUR,4.26,0.87248614928238,4.882599,,,,,,,,,,,
Nicaragua,NIC,NIO,103,31.5872,3.260814507,18.69328494,,-40.8,-31.1,-22.9,-7,5.3,,,,,
Norway,NOR,NOK,42,8.0415,5.222906174,7.622504537,74940.62,-5.2,10.3,23.4,49,68.7,-15.9,-19.9,-8.2,9.4,-12.7
New Zealand,NZL,NZD,6.2,1.464343242,4.23398,1.12522686,41593.062,-23.2,-10.6,0.1,20.8,36.8,-9.9,-14.3,-1.7,17.1,-6.5
Oman,OMN,OMR,1.05,0.385,2.727272727,0.190562613,,-50.5,-42.4,-35.5,-22.2,-11.9,,,,,
Pakistan,PAK,PKR,375,121.49,3.0866738,68.05807623,1541.08,-44,-34.8,-27.1,-12,-0.3,6.7,1.5,16.5,38.8,10.8
Peru,PER,PEN,10.5,3.2715,3.20953691,1.905626134,6762.192,-41.8,-32.2,-24.2,-8.4,3.7,2.6,-2.4,12,33.4,6.5
Philippines,PHL,PHP,140,53.487,2.617458448,25.40834846,2976.307,-52.5,-44.7,-38.1,-25.3,-15.4,-11.5,-15.8,-3.4,15.1,-8.1
Poland,POL,PLN,10.1,3.68695,2.739391638,1.833030853,13822.619,-50.3,-42.1,-35.3,-21.9,-11.5,-20.5,-24.4,-13.3,3.4,-17.5
Portugal,PRT,EUR,3.2,0.87248614928238,3.66768,,,,,,,,,,,
Qatar,QAT,QAR,12,3.641,3.295797858,2.177858439,,-40.2,-30.4,-22.1,-6,6.5,,,,,
Romania,ROU,RON,9.2,3.97325,2.315484805,1.66969147,,-58,-51.1,-45.3,-33.9,-25.2,,,,,
Russia,RUS,RUB,130,62.14065,2.092028326,23.59346642,10608.159,-62,-55.8,-50.6,-40.3,-32.4,-36.6,-39.7,-30.9,-17.6,-34.2
Saudi Arabia,SAU,SAR,12,3.7504,3.199658703,2.177858439,21120.481,-41.9,-32.4,-24.4,-8.7,3.4,-15.3,-19.4,-7.6,10.2,-12.1
Singapore,SGP,SGD,5.8,1.35585,4.277759339,1.052631579,57713.335,-22.4,-9.7,1.1,22,38.2,-21.2,-25,-14,2.5,-18.2
Slovakia,SVK,EUR,2.8,0.87248614928238,3.20922,,,,,,,,,,,
Slovenia,SVN,EUR,3.84,0.87248614928238,4.401216,,,,,,,,,,,
Sweden,SWE,SEK,51,8.7526,5.826840025,9.255898367,53217.627,5.8,23.1,37.7,66.2,88.2,11.5,6.1,21.7,45,15.7
Thailand,THA,THB,119,33.17,3.587579138,21.59709619,6590.638,-34.9,-24.2,-15.2,2.3,15.9,15,9.4,25.5,49.5,19.3
Turkey,TUR,TRY,10.75,4.70625,2.284196547,1.950998185,10511.996,-58.5,-51.8,-46,-34.8,-26.2,-30.7,-34.1,-24.4,-9.9,-28.1
Taiwan,TWN,TWD,69,30.3725,2.271791917,12.52268603,24576.665,-58.8,-52,-46.3,-35.2,-26.6,-42.2,-45,-37,-24.9,-40
Ukraine,UKR,UAH,50,26.199,1.908469789,9.074410163,,-65.4,-59.7,-54.9,-45.6,-38.4,,,,,
Uruguay,URY,UYU,140,31.31,4.471414883,25.40834846,,-18.8,-5.6,5.7,27.5,44.4,,,,,
United States,USA,USD,5.51,1,5.51,1,59501.114,0,16.4,30.2,57.2,78,0,-4.9,9.1,30,3.8
Vietnam,VNM,VND,65000,23039.5,2.82124178,11796.73321,,-48.8,-40.4,-33.3,-19.5,-8.9,,,,,
South Africa,ZAF,ZAR,31,13.3619,2.320029337,5.626134301,6179.87,-57.9,-51,-45.2,-33.8,-25.1,-25.2,-28.8,-18.4,-2.7,-22.4
