Country Name,Dollar Price Pringles
Argentina,1.33
Armenia,2.23
Australia,3.22
Austria,2.73
Azerbaijan,1.28
Bahrain,2.11
Bangladesh,2.45
Belgium,1.82
Bosnia and Herzegovina,2.18
Brazil,4.78
Bulgaria,3.06
Canada,1.7
Chile,3.03
China,4.36
Colombia,2.21
Costa Rica,3.03
Croatia,3.05
Cyprus,2.11
Czech Republic,2.50
Denmark,3.07
Dominican Republic,2.24
El Salvador,2.55
Estonia,2.74
Finland,2.24
France,1.90
Germany,2.1
Greece,2.47
Guatemala,2.73
Hungary,2.92
Iceland,2.24
India,2.62
Indonesia,1.81
Ireland,2.33
Israel,2.69
Italy,2.70
Japan,3.14
Jordan,2.81
Kenya,2.66
Latvia,2.79
Lithuania,2.59
Luxembourg,1.93
Malaysia,1.58
Malta,2.09
Mexico,2.17
Moldova,2.77
Morocco,3.71
Mozambique,2.74
Netherlands,2.19
New Zealand,2.92
Nigeria,1.17
Norway,2.80
Pakistan,1.51
Panama,2.67
Paraguay,2.32
Peru,3.01
Philippines,2.34
Poland,2.04
Portugal,2.13
Romania,1.76
Russia,2.46
Saudi Arabia,2.43
Serbia,3.25
Singapore,2.17
Slovak Republic,3.56
Slovenia,2.24
South Africa,2.13
Spain,2.11
Sri Lanka,2.68
Sweden,2.03
Switzerland,2.51
Thailand,2.32
Tunisia,2.33
Turkey,1.34
United Kingdom,2.16
Ukraine,2.33
Uruguay,2.62
United States,2.46
Vietnam,1.69